Name,Description,Date,Location,Latitude,Longitude,,Chron,,
Rhein Haus,@ Rhein Haus,Thu 22 Oct 15 05:32:43 +0000,47.6110358343526 -122.31682872573953,47.6110358343526,-122.31682872573953,,22 Oct 15 05:32:43,,
Kukai Ramen &amp; Izakaya,Trying out the new ramen place near my house,Thu 22 Oct 15 00:29:24 +0000,47.61538474001726 -122.32692357993369,47.61538474001726,-122.32692357993369,,22 Oct 15 00:29:24,,
Clever Dunne's,I'm baa-aack,Wed 21 Oct 15 03:57:13 +0000,47.617831895746114 -122.3262057803174,47.617831895746114,-122.3262057803174,,21 Oct 15 03:57:13,,
Unicorn,@ Unicorn,Tue 20 Oct 15 06:47:14 +0000,47.614118856069354 -122.31753950960166,47.614118856069354,-122.31753950960166,,20 Oct 15 06:47:14,,
Skillet Diner - Capitol Hill,Zach's birthday dinner,Tue 20 Oct 15 03:49:33 +0000,47.61288438614076 -122.31423846180378,47.61288438614076,-122.31423846180378,,20 Oct 15 03:49:33,,
Rhein Haus,Opera night!,Mon 19 Oct 15 02:54:10 +0000,47.61101429488468 -122.31682915831084,47.61101429488468,-122.31682915831084,,19 Oct 15 02:54:10,,
Madrona Park,Took a stroll down to the lake and got a very faint view of rainier,Fri 16 Oct 15 23:27:25 +0000,47.60940519804051 -122.28284903085333,47.60940519804051,-122.28284903085333,,16 Oct 15 23:27:25,,
Saint John's Bar &amp; Eatery,@ Saint John's Bar &amp; Eatery,Fri 16 Oct 15 00:06:23 +0000,47.61291532401213 -122.30606898126953,47.61291532401213,-122.30606898126953,,16 Oct 15 00:06:23,,
Chuck's Hop Shop - Central District,Central District,Wed 14 Oct 15 22:55:21 +0000,47.61284755760123 -122.3059273379875,47.61284755760123,-122.3059273379875,,14 Oct 15 22:55:21,,
Gelato Messina Fitzroy,Post breakfast Ice cream,Sun 11 Oct 15 01:24:38 +0000,-37.80200237037928 144.98361954556447,-37.80200237037928,144.98361954556447,,11 Oct 15 01:24:38,,
